"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2020","1.440","1.440","1.440","1.440","0.00K","-2.70%"
"Nov 13, 2020","1.480","1.430","1.480","1.420","0.01K","2.07%"
"Nov 12, 2020","1.450","1.430","1.480","1.430","0.00K","2.11%"
"Nov 11, 2020","1.420","1.420","1.420","1.420","0.01K","-1.87%"
"Nov 10, 2020","1.447","1.447","1.447","1.440","0.01K","3.36%"
"Nov 09, 2020","1.400","1.400","1.400","1.400","0.00K","2.94%"
"Nov 06, 2020","1.360","1.360","1.360","1.350","0.02K","-2.86%"
"Nov 05, 2020","1.400","1.435","1.435","1.400","0.03K","-7.28%"
"Nov 04, 2020","1.510","1.510","1.510","1.510","-","0.00%"
"Nov 03, 2020","1.510","1.510","1.510","1.510","0.00K","-0.66%"
"Nov 02, 2020","1.520","1.520","1.520","1.520","-","0.00%"
"Oct 30, 2020","1.520","1.520","1.520","1.520","-","-0.65%"
"Oct 29, 2020","1.530","1.530","1.540","1.530","0.03K","4.08%"
"Oct 28, 2020","1.470","1.540","1.540","1.450","0.01K","-5.16%"
"Oct 27, 2020","1.550","1.559","1.559","1.550","0.01K","-1.08%"
"Oct 26, 2020","1.567","1.560","1.570","1.540","0.01K","3.09%"
"Oct 23, 2020","1.520","1.520","1.520","1.520","-","0.00%"
"Oct 22, 2020","1.520","1.520","1.520","1.520","-","0.00%"
"Oct 21, 2020","1.520","1.520","1.550","1.510","0.02K","3.47%"
"Oct 20, 2020","1.469","1.469","1.469","1.469","0.00K","0.00%"
"Oct 19, 2020","1.469","1.470","1.470","1.470","0.00K","2.01%"